"Institution Name (RSSD ID)","Location","Total Assets 0","Date 0","Total Assets 1","Date 1","Total Assets 2","Date 2","Total Assets 3","Date 3","Total Assets 4","Date 4","Total Assets 5","Date 5","Total Assets 6","Date 6","Total Assets 7","Date 7","Total Assets 8","Date 8","Total Assets 9","Date 9","Total Assets 10","Date 10","Total Assets 11","Date 11","Total Assets 12","Date 12","Total Assets 13","Date 13","Total Assets 14","Date 14"
"COMERICA INCORPORATED (1199844)","DALLAS, TX","$71,440,155",2016-06-30,"$69,131,436",2016-03-31,"$71,983,051",2015-12-31,"$71,212,885",2015-09-30,"$70,053,205",2015-06-30,"$69,420,233",2015-03-31,"$69,452,409",2014-12-31,"$68,949,210",2014-09-30,"$65,386,081",2014-06-30,"$65,832,917",2014-03-31,"$65,356,580",2013-12-31,"$64,723,310",2013-09-30,"$63,013,097",2013-06-30,"$64,975,279",2013-03-31,"$65,398,175",2012-12-31
"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$24,726,507",2016-06-30,"$24,519,161",2016-03-31,"$24,625,092",2015-12-31,"$23,989,012",2015-09-30,"$23,721,613",2015-06-30,"$24,060,276",2015-03-31,"$24,015,123",2014-12-31,"$22,710,961",2014-09-30,"$23,016,162",2014-06-30,"$22,820,527",2014-03-31,"$23,081,892",2013-12-31,"$22,462,282",2013-09-30,"$21,921,322",2013-06-30,"$22,240,695",2013-03-31,"$22,176,815",2012-12-31
"COUNTRY LIFE INSURANCE COMPANY (3825204)","BLOOMINGTON, IL","$10,264,654",2016-06-30,"$10,182,556",2016-03-31,"$10,092,985",2015-12-31,"$10,848,819",2015-09-30,"$10,887,809",2015-06-30,"$10,826,914",2015-03-31,"$10,697,206",2014-12-31,"$10,573,699",2014-09-30,"$10,519,027",2014-06-30,"$10,406,821",2014-03-31,"$10,262,625",2013-12-31,"$10,047,710",2013-09-30,NA,NA,NA,NA,NA,NA
"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX","$29,014,585",2016-06-30,"$28,477,488",2016-03-31,"$28,603,199",2015-12-31,"$28,403,675",2015-09-30,"$27,802,644",2015-06-30,"$28,196,667",2015-03-31,"$28,347,544",2014-12-31,"$27,411,142",2014-09-30,"$26,584,688",2014-06-30,"$24,715,220",2014-03-31,"$24,388,272",2013-12-31,"$23,566,006",2013-09-30,"$22,596,340",2013-06-30,"$22,560,339",2013-03-31,"$23,205,702",2012-12-31
"DEUTSCHE BANK TRUST CORPORATION (1032473)","NEW YORK, NY","$54,629,000",2016-06-30,"$53,106,000",2016-03-31,"$53,554,000",2015-12-31,"$57,375,000",2015-09-30,"$58,202,000",2015-06-30,"$55,615,500",2015-03-31,"$55,541,200",2014-12-31,"$60,715,000",2014-09-30,"$69,406,000",2014-06-30,"$72,603,000",2014-03-31,"$66,926,000",2013-12-31,"$66,067,000",2013-09-30,"$71,992,000",2013-06-30,"$75,523,000",2013-03-31,"$74,148,000",2012-12-31
"DISCOVER FINANCIAL SERVICES (3846375)","RIVERWOODS, IL","$87,511,328",2016-06-30,"$88,093,339",2016-03-31,"$86,936,159",2015-12-31,"$85,611,791",2015-09-30,"$84,911,199",2015-06-30,"$84,177,508",2015-03-31,"$83,125,845",2014-12-31,"$80,596,481",2014-09-30,"$78,936,814",2014-06-30,"$79,583,709",2014-03-31,"$79,339,664",2013-12-31,"$75,544,201",2013-09-30,"$74,944,466",2013-06-30,"$76,139,250",2013-03-31,"$73,491,315",2012-12-31
"E*TRADE FINANCIAL CORPORATION (3412583)","NEW YORK, NY","$49,202,038",2016-06-30,"$47,943,401",2016-03-31,"$45,426,559",2015-12-31,"$41,206,541",2015-09-30,"$47,117,894",2015-06-30,"$46,828,405",2015-03-31,"$45,529,729",2014-12-31,"$45,818,844",2014-09-30,"$45,748,395",2014-06-30,"$46,438,440",2014-03-31,"$46,279,856",2013-12-31,"$45,547,479",2013-09-30,"$45,006,525",2013-06-30,"$44,966,314",2013-03-31,"$47,386,739",2012-12-31
"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA","$32,952,138",2016-06-30,"$33,109,185",2016-03-31,"$32,351,172",2015-12-31,"$31,119,855",2015-09-30,"$30,064,322",2015-06-30,"$29,907,424",2015-03-31,"$28,738,323",2014-12-31,"$28,481,156",2014-09-30,"$27,556,917",2014-06-30,"$27,401,438",2014-03-31,"$24,730,609",2013-12-31,"$24,493,454",2013-09-30,"$23,314,135",2013-06-30,"$23,102,005",2013-03-31,"$22,536,282",2012-12-31
"EASTERN BANK CORPORATION (1427239)","BOSTON, MA","$10,025,463",2016-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EVERBANK FINANCIAL CORP (3838857)","JACKSONVILLE, FL","$27,354,310",2016-06-30,"$26,641,399",2016-03-31,"$26,601,026",2015-12-31,"$25,214,743",2015-09-30,"$24,120,491",2015-06-30,"$23,347,219",2015-03-31,"$21,617,788",2014-12-31,"$20,510,343",2014-09-30,"$19,753,820",2014-06-30,"$17,630,948",2014-03-31,"$17,640,984",2013-12-31,"$17,612,089",2013-09-30,"$18,362,872",2013-06-30,"$18,306,488",2013-03-31,"$18,242,878",2012-12-31
"F.N.B. CORPORATION (3005332)","HERMITAGE, PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$15,019,247",2014-06-30,"$14,476,510",2014-03-31,"$13,563,405",2013-12-31,"$12,790,279",2013-09-30,"$12,573,391",2013-06-30,"$11,997,990",2013-03-31,"$12,023,976",2012-12-31
"F.N.B. CORPORATION (3005332)","PITTSBURGH, PA","$21,214,967",2016-06-30,"$20,324,524",2016-03-31,"$17,557,662",2015-12-31,"$16,836,073",2015-09-30,"$16,598,601",2015-06-30,"$16,278,848",2015-03-31,"$16,127,090",2014-12-31,"$15,757,045",2014-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FIFTH THIRD BANCORP (1070345)","CINCINNATI, OH","$143,625,325",2016-06-30,"$142,430,207",2016-03-31,"$141,082,059",2015-12-31,"$141,917,763",2015-09-30,"$141,658,130",2015-06-30,"$140,469,916",2015-03-31,"$138,705,640",2014-12-31,"$134,187,722",2014-09-30,"$132,562,382",2014-06-30,"$129,654,487",2014-03-31,"$129,685,180",2013-12-31,"$124,939,419",2013-09-30,"$122,642,935",2013-06-30,"$120,789,641",2013-03-31,"$121,500,604",2012-12-31
"FIRST BANCORP (2744894)","SAN JUAN, PR","$12,508,702",2016-06-30,"$12,714,370",2016-03-31,"$12,573,019",2015-12-31,"$12,820,989",2015-09-30,"$12,578,813",2015-06-30,"$13,147,919",2015-03-31,"$12,727,835",2014-12-31,"$12,643,280",2014-09-30,"$12,523,251",2014-06-30,"$12,819,428",2014-03-31,"$12,656,925",2013-12-31,"$12,787,450",2013-09-30,"$12,803,169",2013-06-30,"$13,005,877",2013-03-31,"$13,099,741",2012-12-31
